# tstamp	temp	rate	angle	adjusted_rate
1268594644.757910 33.549999 -0.024400 0.000000 0.007015
1268594644.859205 33.549999 -0.036600 -0.000518 -0.005185
1268594644.960444 33.549999 -0.027450 -0.000122 0.003965
1268594645.158454 33.549999 -0.036600 -0.001464 -0.005185
1268594645.259539 33.549999 -0.018300 -0.000152 0.013115
1268594645.360827 33.549999 0.009150 0.003904 0.040565
1268594645.558676 33.549999 0.009150 0.001037 0.040565
1268594645.659922 33.549999 -0.039650 0.000214 -0.008235
1268594645.858362 33.549999 -0.051850 -0.006008 -0.020435
1268594645.960770 33.549999 -0.009150 -0.003782 0.022265
1268594646.157388 33.549999 -0.085400 -0.008784 -0.053985
1268594646.259696 33.549999 -0.003050 -0.005947 0.028365
1268594646.460412 33.549999 0.003050 -0.005764 0.034465
1268594646.658873 33.549999 -0.051850 -0.007106 -0.020435
1268594646.758879 33.549999 -0.036600 -0.007625 -0.005185
1268594646.858885 33.549999 -0.064050 -0.010888 -0.032635
1268594646.958892 33.549999 -0.024400 -0.010187 0.007015
1268594647.058930 33.549999 -0.048800 -0.011925 -0.017385
1268594647.258911 33.549999 -0.003050 -0.011437 0.028365
1268594647.358919 33.549999 -0.070150 -0.015311 -0.038735
1268594647.458924 33.549999 0.015250 -0.010644 0.046665
1268594647.558931 33.549999 -0.054900 -0.012993 -0.023485
1268594647.658938 33.549999 -0.006100 -0.010461 0.025315
1268594647.758961 33.549999 -0.033550 -0.010675 -0.002135
1268594647.958958 33.549999 -0.048800 -0.010187 -0.017385
1268594648.058963 33.549999 -0.009150 -0.007960 0.022265
1268594648.158969 33.549999 -0.036600 -0.008479 -0.005185
1268594648.258980 33.549999 -0.009150 -0.006252 0.022265
1268594648.359960 33.549999 -0.073200 -0.010431 -0.041785
1268594648.558997 33.549999 -0.027450 -0.010248 0.003965
1268594648.659002 33.549999 -0.024400 -0.009546 0.007015
1268594648.759012 33.549999 -0.073200 -0.013725 -0.041785
1268594648.859016 33.549999 -0.042700 -0.014853 -0.011285
1268594648.959024 33.549999 -0.054900 -0.017202 -0.023485
1268594649.059029 33.549999 -0.012200 -0.015280 0.019215
1268594649.159294 33.549999 -0.003050 -0.012444 0.028365
1268594649.359048 33.549999 -0.042700 -0.013786 -0.011285
1268594649.459057 33.549999 -0.024400 -0.013084 0.007015
1268594649.559063 33.549999 -0.012200 -0.011163 0.019215
1268594649.659069 33.549999 0.018300 -0.006191 0.049715
